,,basket ball,jog,kettle ball,skipping,stairs
Gyro Y (°/s)_hand,std,120.34884341953631,183.49033427671893,113.5275626378185,179.9806684281705,118.16678309782304
Gyro Y (°/s)_hand,min,-639.0173189898527,-672.7092393377584,-324.9866483558403,-578.6526283665216,-558.1445029373617
Gyro Y (°/s)_hand,25%,-34.63797970550104,-124.78828107118328,-86.21347371633465,-70.95445181963828,-65.27809567406734
Gyro Y (°/s)_hand,50%,2.105745021744042,-4.242008087281647,2.105745021744042,17.730983443961122,-1.1291676203554744
Gyro Y (°/s)_hand,75%,63.63012130922425,112.27588311589216,90.18081940947607,134.30991073472183,65.70534828717518
Gyro Y (°/s)_hand,max,588.4184023804078,679.7894254978255,502.9068436713205,699.5040817883572,490.51651789120336
Gyro Z (°/s)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro Z (°/s)_hand,mean,-10.51500291226259,1.4006176313676335,-0.06731838697868701,-35.883500969442814,0.02561447849674945
Gyro Z (°/s)_hand,std,97.20795103620769,85.27320273202898,64.41380629861736,146.00905369061977,63.91025694080774
Gyro Z (°/s)_hand,min,-911.7875944151981,-403.11284046692595,-245.090409704738,-591.7753871976806,-377.23353933012885
Gyro Z (°/s)_hand,25%,-34.69901579308771,-51.300831616693365,-34.57694361791414,-132.47882810711826,-33.66140230411247
Gyro Z (°/s)_hand,50%,0.7629510948347615,0.09155413138023503,-0.2746623941404778,-23.163195239185143,1.0681315327688026
Gyro Z (°/s)_hand,75%,34.07339589532296,52.09430075532146,35.370412756542244,58.6251621271074,36.835278858625095
Gyro Z (°/s)_hand,max,320.10376134889793,298.06973373006764,220.3707942320898,530.0679026474403,332.0668345159079
Accel X (g)_chest,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel X (g)_chest,mean,-0.06331237589032795,-0.12007911247050544,-0.08976121243910999,-0.08407485476493297,-0.04658797084288381
Accel X (g)_chest,std,0.15885150811290588,0.41108912046307183,0.17550343721135908,0.4366901561402496,0.19772580513369106
Accel X (g)_chest,min,-1.3837491416800185,-4.0,-0.8520027466239415,-4.0,-1.5541618982223238
Accel X (g)_chest,25%,-0.14691386282139307,-0.2909590295262072,-0.1757228961623558,-0.2086823834592204,-0.15863279163805588
Accel X (g)_chest,50%,-0.06390478370336483,-0.12249942778667887,-0.08538948653391333,-0.019470511940184558,-0.0365606164644845
Accel X (g)_chest,75%,0.028381780727855244,0.13971160448615286,0.007385366598001042,0.12066834515907487,0.0689097428854808
Accel X (g)_chest,max,0.9302510109102008,2.9463950560769057,0.8418707560845347,2.2471656366826886,1.106034943160143
Accel Y (g)_chest,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Y (g)_chest,mean,0.8570063041693453,0.7923287644375837,0.7922223181167712,0.575066675171584,0.9036210376678198
Accel Y (g)_chest,std,0.1769836323630134,1.1292876134499081,0.16333915897694645,1.3513804960429547,0.45841699753928977
Accel Y (g)_chest,min,-1.1879453727016105,-4.0,-0.2426184481574732,-4.0,-4.0
Accel Y (g)_chest,25%,0.7725337605859464,0.03546196688792236,0.7154039826047152,0.0852674143587393,0.6460669871061269
Accel Y (g)_chest,50%,0.8682383459220259,0.7564202334630351,0.818432898451209,0.7222400244144351,0.8740978103303574
Accel Y (g)_chest,75%,0.9234149691004808,1.4424658579385063,0.8950942244602125,1.106034943160143,1.1275196459906924
Accel Y (g)_chest,max,2.8731517509727613,3.993774319066148,1.3360189211871516,3.981567101548791,3.9600823987182414
Accel Z (g)_chest,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Z (g)_chest,mean,0.47371549012377956,0.34444094644880346,0.10197926390337737,0.21798952242642752,0.3958455333517193
Accel Z (g)_chest,std,0.2185245039787111,0.5926287335074136,0.5748560145908247,0.699980892753987,0.30290864335879736
Accel Z (g)_chest,min,-2.024872205691615,-3.27537956816968,-1.8627603570611124,-4.0,-1.2328679331654842
Accel Z (g)_chest,25%,0.3917906462195777,-0.024353398947127403,-0.4257267109178301,-0.10418860151064327,0.2222323949034868
Accel Z (g)_chest,50%,0.4639353017471581,0.3042648966201265,0.3511406118867777,0.1885404745555812,0.3750667582207985
Accel Z (g)_chest,75%,0.5845426108186462,0.6118867780575261,0.5479209582665749,0.46881818875410103,0.5451132982375828
Accel Z (g)_chest,max,1.8272373540856028,4.0,0.9351338979171436,4.0,4.0
Sample (V),count,28218.0,37763.0,18445.0,9003.0,48644.0
Sample (V),mean,-0.009673750190005508,-0.009787825834066344,-0.009872308720001565,-0.008973943326080857,-0.009577600109695323
Sample (V),std,0.0027126008313250152,0.0024802050122116797,0.0020845942769268156,0.0038045496740022064,0.002465958786832781
Sample (V),min,-0.045004577706569016,-0.032627934182752234,-0.029673787543551794,-0.047072480354009294,-0.029322982630146738
Sample (V),25%,-0.010718013275349048,-0.010718013275349048,-0.010711858803184066,-0.010779557996999062,-0.010779557996999062
Sample (V),50%,-0.010422598611429024,-0.01049645227740903,-0.010521070166069041,-0.010453370972254015,-0.010502606749574041
Sample (V),75%,-0.010010248976373952,-0.010207192085653988,-0.010207192085653988,-0.004785102108288197,-0.009997940032043963
Sample (V),max,0.03821619490857303,0.010921110856794092,-0.0028956791536328963,0.07775252409653871,0.0005262073701075842
